id,start,label,comm_tkn,gender,business_type,bal,vol_trans_in,vol_trans_out,n_trans_in,n_trans_out
0x28fa01da043d15181929259b7365351d1434f593,2019-04-29T11:46:40+03:00,2155,CONGO,Male,Transport,450,450.0,0,2,0
0xcc269ad79106625a6d84c9f2fe8b757ad62444fe,2019-04-29T13:08:55+03:00,2156,LINDI,Female,Food,100,500.0,400.0,3,1
0x9eb818b6b09e4ea928c7c75375af26caa2d7f50a,2019-04-29T13:26:20+03:00,2157,CONGO,Male,Labour,50,8043.0,7993.0,17,20
0xdd4cfc64ab16bc32920744cbb0147f26019241ae,2019-04-29T13:28:40+03:00,2158,CONGO,Male,Labour,54,3834.9758409189353,3780.0,16,17
0x9f181a1f95af38f2bd3337adcbd1de541d2bae51,2019-04-29T13:45:10+03:00,2159,MIYANI,Male,Food,103,31937.655465397333,31834.0,114,189
0xca1a7aef7f5dca730fc937a39427b32f3832f8e4,2019-04-29T13:49:45+03:00,2160,CONGO,Male,Transport,60,1869.195339662492,1809.0,11,11
0xf96a0810d6e7886f27518d7312225981c5c491c4,2019-04-29T14:03:00+03:00,2161,ZENI,Male,Labour,185,66681.95091550004,66496.0,130,154
0x2160205bfc837b57ee17a648e4cf3cc65aafaa47,2019-04-29T14:20:55+03:00,2162,CONGO,Male,Labour,539,1109.8399541447357,570.0,11,7
0x1f507370f7cc7161897bb7fc14e0916948de305f,2019-04-29T14:31:45+03:00,2163,CHIGA,Male,Water,62,1985.7628277346455,1923.0,28,16
0x10f76a6651a2dab5e9bdab2da2cd0dd075d495de,2019-04-29T16:16:20+03:00,2164,MIYANI,Male,General shop,314,498987.34826582106,498673.0,264,202
0x4a9556fb91545632735a42f41d5eab3c6f714e04,2019-04-29T16:30:45+03:00,2165,CONGO,Male,Labour,110,1160.0,1050.0,8,5
0x8321361e16b4b2223488de710c50aa8ec2c24910,2019-04-29T16:52:55+03:00,2166,MIYANI,Male,Labour,60,1310.8905909561227,1250.0,5,3
0xde47c3b7764915e390a4c8fb2090f6662384d76a,2019-04-30T11:01:15+03:00,2167,TUNGU,Male,Labour,360,510.0,100.0,4,1
0x46e7cae1aab8280daa85a83d2c3973bf3843fd39,2019-04-30T11:02:30+03:00,2168,CONGO,Female,General shop,460,610.0,100.0,5,1
0xc2a10f05f7ad84d9ffbd2e32c8b0e99238382629,2019-05-02T11:43:50+03:00,2169,CONGO,Male,Labour,460,610.0,100.0,5,1
0x4e29ef492a76266dc2e6dc60fd41de19f1573e62,2019-04-30T11:54:25+03:00,2170,GATINA,Male,General shop,480,680.0,150.0,6,3
0x201fd9f8b24e0370633d3bf887028534951506af,2019-04-30T11:57:50+03:00,2171,MIYANI,Male,Labour,115,825.0,710.0,8,7
0x5584fbcc9f1e6a1450d03d5fc1649f98f2159ab7,2019-04-30T12:10:10+03:00,2172,CONGO,Female,Labour,480,1350.0,870.0,13,9
0xf8b72d5e7f5de5846d5594aec2ec517558ad4d31,2019-04-30T12:43:40+03:00,2173,GATINA,Male,General shop,110,510.0,350.0,4,1
0xc3e0f7ad96fb61c30db77c4d1f2f86f600951235,2019-04-30T13:26:55+03:00,2174,CONGO,Female,Labour,450,450.0,0,2,0
0xfe58a6b4255b9b8f598758764a35fa6579e38cf8,2019-04-30T13:32:45+03:00,2175,GATINA,Male,General shop,380,450.0,70.0,2,1
0x8d272391c2f88e75a3a9273b6f5dbb9f8c157434,2019-04-30T15:31:45+03:00,2176,MIYANI,Male,Food,113,1368.0,1255.0,25,22
0xe39e35f0a4ad210b2c9644eb3cf97958d3f4050f,2019-04-30T15:30:35+03:00,2177,CONGO,Male,Labour,650,2520.6215369044385,1870.0,19,13
0x55638c7ce2daf7a7516e348aa3ed303eb0cd8a60,2019-04-30T16:27:15+03:00,2178,CONGO,Male,Labour,796,1196.707479456199,400.0,11,4
0x2d4769fe58144ba19cdb1720c7819c4030fcb687,2019-05-01T10:20:10+03:00,2179,MIYANI,Male,Labour,83,1033.0,950.0,13,4
0xa1625d3ae6302df443ab897060a430d3192bb494,2019-05-01T10:37:30+03:00,2180,MIYANI,Male,General shop,485,485.0,0,5,0
0x9aaa4fe6670819c19ce67c449f0c09bb818af976,2019-05-01T12:30:30+03:00,2181,TUNGU,Male,Labour,720,870.0,100.0,8,1
0x3b7b38ee91bb48f0db79b31d5046f458cb3e1f1e,2019-05-01T15:11:50+03:00,2182,MIYANI,Male,Labour,83,5562.187149496984,5478.825707371822,22,46
0xb47e64fce23230b413453d54f681e1462103c936,2019-05-02T10:29:55+03:00,2183,LINDI,Female,Labour,0,850.0,850.0,4,4
0x1b22b46bd2588fc123cab76c8210833fc0619c83,2019-05-02T11:32:20+03:00,2184,GATINA,Female,Labour,10,610.0,550.0,5,1
0x322e6fc3ebb83c1a3a9ce0ffb4c189c50e2a8e02,2019-05-02T12:05:05+03:00,2185,LINDI,Female,Food,230,630.0,400.0,6,1
0xd9185433d6af6ad80414d314ed7b691cf6fe319d,2019-05-02T16:03:35+03:00,2186,TUNGU,Male,Transport,110,510.0,400.0,4,2
0xe4ba5f6bbc8136400b0ddb6337c05ba379036578,2019-05-02T16:15:05+03:00,2187,TUNGU,Male,Labour,410,510.0,100.0,4,1
0x397a59bdd106d19e15a33165e62f2885208a4e4a,2019-05-02T16:34:50+03:00,2188,CHIGA,Male,Labour,764,1214.9101695102092,450.0,4,1
0x7942ecc871f242ad935a42672418f29dcf64ca49,2019-05-02T16:41:35+03:00,2189,TUNGU,Male,Energy,10,460.0,450.0,3,3
0xa7af581d605e69cbe3ee4dd95d0941fd324db745,2019-05-03T10:45:30+03:00,2190,CONGO,Female,Labour,100,700.0,600.0,5,3
0x91832baea251a7d4eb8b53e27e787a453cf0b8b2,2019-05-03T11:04:05+03:00,2191,TUNGU,Female,Food,200,500.0,300.0,3,1
0x0617715a2c6e28e15e9f927bc75366ddd35c3d54,2019-05-03T11:27:30+03:00,2192,GATINA,Male,Labour,400,450.0,50.0,2,1
0x91f8d6bb4291eeda1acef3f415a5d7c352ccd198,2019-05-03T11:59:30+03:00,2193,TUNGU,Male,Labour,450,510.0,60.0,4,2
0xe26ec872649be8080091c0f4c82b418264a08369,2019-05-03T13:20:15+03:00,2194,TUNGU,Male,Transport,250,750.0,500.0,9,3
0x3e842e4086b0b24d63b8ed8336cb8009deadcf8b,2019-05-03T13:30:15+03:00,2195,CONGO,Female,Labour,460,460.0,0,3,0
0x6a3e49f9ef8720af439123370bcdbeb7b6089855,2019-05-03T13:36:25+03:00,2196,TUNGU,Male,Labour,340,510.0,170.0,4,2
0x327dddab0d4a81145296ae6882b1408ba35f7def,2019-05-03T13:43:15+03:00,2197,TUNGU,Male,Labour,350,510.0,160.0,4,2
0x9175cf3864fa753a6932928662034791366e8ff2,2019-05-03T15:54:10+03:00,2198,TUNGU,Male,Labour,360,510.0,150.0,4,2
0x81efd359ac018d72d9309660cd07fe1a273b8f1f,2019-05-03T16:28:45+03:00,2199,MIYANI,Male,General shop,64,59998.2533785946,59934.0,52,33
0xb19e118eae9b80b305316caee016e247407611af,2019-05-06T09:29:45+03:00,2200,TUNGU,Female,Labour,450,450.0,0,2,0
0x34ac9efcd777dfeb6a9ad0e02bac8f692fe4bf1d,2019-05-06T12:54:55+03:00,2201,KANG,Male,Transport,410,410.0,0,2,0
0x8d5904bd6562b4ec4fbdeb7a3cc422c4c8aed28e,2019-05-06T10:58:15+03:00,2202,TUNGU,Female,Food,460,460.0,0,3,0
0x48f9b6291314e5276126336936da642d785cc76a,2019-05-06T10:59:20+03:00,2203,MIYANI,Male,Transport,641,641.0,0,6,0
0x333915412239623ed9eb62e165359210aaf4b11e,2019-05-06T11:18:50+03:00,2204,LINDI,Male,Labour,410,410.0,0,2,0
0xb5b9afa1d773e8e8497c08961f5df8be1aa9383d,2019-05-06T11:26:25+03:00,2205,LINDI,Female,Education,332,14872.0,14540.0,34,25
0x0c5d568300bee17d6d448385c0764477f24816f4,2019-05-06T11:50:50+03:00,2206,TUNGU,Female,Food,460,460.0,0,3,0
0x6b7b0f3d5cbb9c4a2cdfb6088ba91e3578163a19,2019-05-06T12:10:00+03:00,2207,GATINA,Male,General shop,2060,2060.0,0,5,0
0xf81f93c07235e058922219bbc1a7b0ad99a3a868,2019-05-06T12:14:10+03:00,2208,LINDI,Female,Food,89,1059.094355067186,970.0,9,4
0xc555b98e952ccaeeb775b93ab0bef2f749ef2d95,2019-05-06T12:17:05+03:00,2209,CONGO,Female,Energy,510,860.0,350.0,5,1
0x794d3a8286951144778b1e5eb0425d5af4297a76,2019-05-06T12:29:10+03:00,2210,TUNGU,Male,Transport,587,667.8574874271596,80.0,6,1
0x5ce1167b41f899000b63356b8fc7958470474bcd,2019-05-06T12:53:50+03:00,2211,LINDI,Female,Food,310,6285.0,5975.0,15,12
0x78c4fb7538e463d2e5fb8f5b2eff16760e7b89e6,2019-05-06T13:12:55+03:00,2212,CONGO,Male,General shop,410,610.0,200.0,5,2
0xd0ff2a70964c4c2da659193140b99fa47d8d0d99,2019-05-06T13:34:10+03:00,2213,LINDI,Female,Food,315,17396.0,17081.0,33,37
0x3fee981e8eccf7f66a45d48b7de0bb4e352771b5,2019-05-06T14:27:55+03:00,2214,GATINA,Female,Labour,50,964.717516305499,914.0,7,7
0x3314d18a56913a71ec83aad46a0b19ebba8b98a4,2019-05-06T16:35:50+03:00,2215,GATINA,Female,Education,460,460.0,0,3,0
0x4950cb1d2c8b082b3d78465e78deb88184793f72,2019-05-07T10:22:40+03:00,2216,GATINA,Male,General shop,460,460.0,0,3,0
0x8cc3887f31789030b7810617c95cb36a700b9f11,2019-05-07T09:50:20+03:00,2217,MIYANI,Female,Labour,460,460.0,0,3,0
0x293d1eafdbcef876115f9da58bd76e632eb77aad,2019-05-07T10:24:05+03:00,2218,YENI,Female,Food,785,1702.0935597227194,917.0,14,17
0xb0d36ce2596a39dc627c67464110f37f02515cc0,2019-05-07T14:41:05+03:00,2219,MIYANI,Male,Food,300,500.0,200.0,3,3
0x494eb950a621fd2da6958a3653bdcc32c24f2ed3,2019-05-07T14:13:30+03:00,2220,KANG,Female,Food,490,550.0,60.0,4,1
0x2a71b2ccbc4e95df8e06b30047a9198cf608b1d0,2019-05-07T14:14:05+03:00,2221,KANG,Female,Food,520,570.0,50.0,5,1
0xfb36696566b562eaac08ef754ca3f4eaa6abd2e0,2019-05-07T14:39:20+03:00,2222,KANG,Female,Education,609,669.4652718835538,60.0,8,2
0x78c196e70906b4519841d0aa20b40cf9a0148dcd,2019-05-07T14:48:45+03:00,2223,KANG,Male,Education,500,510.0,10.0,4,1
